M0001|[Promotional Staff]
M0002|We are looking for adventurers who are super curious and extremely brave.
M0003|Join us for a wonderful adventure!
M0004|Hey, you're a knowledgeable person, right? Are you interested in my story?
M0005|You're a real adventurer.
M0006|Good for you!
M0007|You won't regret it.
M0008|I usually send adventurers to
M0009|newly found places for research.
M0010|It's quite challeging, as nobody's ever been to these places.
M0011|The missions are quite dangerous,
M0012|so only those who are courageous
M0013|are qualified for the challenge
M0014|of this mission.
M0015|I'm not sure that you're strong enough, but you seem brave. How about going to the kingdom receptionist? He should be in the first room of Prontera Castle.
M0016|From what I've heard about this place... It's not a new continent.
M0017|I don't know where it is.
M0018|Hmm... Inside of the sky?
M0019|Could just be a rumor,
M0020|but I don't know exactly.
M0021|It's not my business.
M0022|Anyway, I'm supposed to inform many adventurers about it.
M0023|There's no time to waste!
M0024|Huh, I thought you were a real adventurer. You're missing a big opportunity. You're definitely not brave. Absolutely not!
M0025|[Alliance Manager]
M0026|If we'd had the initiative over Schwarzwald, we could take advantage over them! But we lost the opportunity.
M0027|Though we are allied with them, that's nothing more than a formality.
M0028|We will take advantage over them.
M0029|Do you know what we are here for? These are the things that help to have control over multiple countries and get to know their magic.
M0030|Whatever. Though the things are not useful to us, we'd better destroy them, to prevent them from being used by others.
M0031|Anything except things which are not found on Rune-Midgarts... keep them hidden. Just let us know of whatever you are holding.
M0032|...Do you have any business with me?
M0033|Hm... The boss had you come to me,
M0034|to talk about the issues? Ok!
M0035|So, everything is going well?
M0036|You're allied with Schwarzwald?
M0037|They will join with you.
M0038|I know this.
M0039|Hm....ok.
M0040|You are all going, forward through
M0041|the dimensional rift...
M0042|Good. It's started.
M0043|We also need to be preparted to not
M0044|let ourselves be convinced to turn over.
M0045|We are so-called 'allies',
M0046|so we can't take advantages over
M0047|each other in public, but we can do
M0048|it secretly.
M0049|The Schwarzwald... they are all
M0050|snobs. I know what they did.
M0051|They'll try to get what they can
M0052|with little or no work. I know
M0053|their dirty tricks.
M0054|We shouldn't loose anything to them,
M0055|no way! We are not as powerful as
M0056|most of them.
M0057|We only have a strange dimensional
M0058|rift in our reserves, but nothing
M0059|else... Only we are about to trick
M0060|them, to win over them!
M0061|You are a member of our alliance.
M0062|Always be careful not to get lost.
M0063|Thanks for reporting to us.
M0064|We are better prepared.
M0065|Good job. You can go now.
M0066|Do you have any business here?
M0067|[Member of Alliance]
M0068|If we have absolute power, we wouldn't have to get along with Schwarzwald and Arunafeltz.
M0069|I don't know when Satan Morocc will attack us, and whether we're powerful enough to detect him.
M0070|We couldn't avoid cooperating with them. We don't have many choices left.
M0071|So we will take advantage over them in secret, in this dimensional rift.
M0072|If we'd have had more power,
M0073|we wouldn't be like this now.
M0074|Strength is most important.
M0075|[Recruiter]
M0076|Why have you come again?
M0077|You'd better go to Schwarzwald to register.
M0078|What? You came to here to convey a story? Go ahead.
M0079|Move to the side. There's a Manager who is dealing with all of us, and is involved in international relations here on Midgard.
M0080|Just talk to him.
M0081|Just go there.
M0082|You can get nothing from me.
M0083|Let's rush to
M0084|^FF0000Lighthalzen^000000, which is the original place for the three kingdoms...
M0085|I've heard of you.
M0086|You've finished the tests from the Promotional Staff?
M0087|You are definitely brave enough to venture to this new land.
M0088|I will now appoint you to detect and have adventures in Ash-Vacuum.
M0089|Hm. That's the code name of the place where you will have your adventure. Frankly, we don't know exactly what it is, but we call it 'Ash-Vacuum'.
M0090|Believe it or not,
M0091|it's definitely true.
M0092|So listen carefully.
M0093|Please.
M0094|Ash-Vacuum... is a living place... that's totally different from where we are living now.
M0095|It's an unknown place.
M0096|We don't know what's there,
M0097|or who is living there.
M0098|It's beyond our guess.
M0099|Nobody knows.
M0100|Only the brave, like you, deserve to go there. There will be many dangerous things around you, but you must explore it on behalf of Midgard.
M0101|Hmm......
M0102|Anyway, I am sure that there are many opportunities for fame and fortune there...
M0103|First, you should go to ^FF0000Lighthalzen^000000 to register for the United Midgard Alliance. I believe they are meeting at the Rekenber Corporation Headquarters...
M0104|You can get a detailed guide, better than me, there. Go there and find him...
M0105|I've done what I can. Go there, and get to it!
M0106|Remember, go to ^FF0000Lighthalzen^000000, then follow the directions of the guide there.
M0107|Just go there!
M0108|And listen carefully
M0109|about your mission!
M0110|I'm done here...
M0111|What're you doing here?
M0112|Just go to ^FF0000Aldebaran^000000, and find the ^FF0000Promotional Staff^000000. As I advised you, you'd better save time.
M0113|Brave ones! Come to me!
M0114|Real brave people!
M0115|Would you mind trying a challenging mission?
M0116|I am a recruiter looking for brave people in Prontera! My goal is to recruit the bravest adventurers for this mission.
M0117|Would you like to join?
M0118|This is always open to you.
M0119|I know, you're super curious.
M0120|Just try whatever you want.
M0121|Oh! Yes! You're quite curious!
M0122|A genuine desire for adventure.
M0123|Ok! Let me start by telling you the story of the mission!!
M0124|All of this of course, the Promotional Staff can tell you, but they're not that reliable. So, let me explain to you. Just listen carefully.
M0125|Um... There's not that much to tell you...
M0126|The point is that we want someone who is curious and brave, to go to new places. And I choose you!!
M0127|This is a special place among unknown places. Quite special! I can't tell you much just now. Just believe me that it is truly uncommon!
M0128|So, now, let me test you.
M0129|Once I get you qualified,
M0130|I will tell you everything.
M0131|Just go to the ^FF0000Promotional Staff^000000 in Aldebaran and get permission. They can judge you more carefully than me. Go ahead.
M0132|They will take care of everything, if you say that you've been sent by the Recruiter in Prontera.
M0133|Time is zeny, just go.
M0134|As soon as you visit the Promotional Staff, you will be allowed to travel to the unknown land.
M0135|Are you seriously enjoying your adventures? You're not that curious.
M0136|Just go about your business!
M0137|-Muttering and complaining...-
M0138|Did you try out for the test, or are you already enjoying your adventures?
M0139|Just visit the ^FF0000Promotional Staff in Geffen^000000. You have no business with me anymore. Bless you. I wish you a safe adventure.
M0140|Don't forget to bring... ^FF0000300 Jellopy^000000.
M0141|Got it? ^FF0000300 Jellopy^000000!
M0142|Let me know once you got them.
M0143|Hey! Let me know once you collect all of them.
M0144|Don't disturb me anymore. I'm a busy man... What a waste.
M0145|Hm? Did you bring all of them?
M0146|No! It's quite an annoying job
M0147|I'm impressed that you managed to do such a menial thing to bring 300 Jellopy!
M0148|You have guts kid!
M0149|You're a good-willed person!
M0150|Ok, you win!
M0151|You pass!!
M0152|Adventurers like you
M0153|are not common
M0154|A hard-boiled soldier!
M0155|Stronger than me!
M0156|Now can you go to the
M0157|Promotional Staff in Geffen?
M0158|He will test you again.
M0159|You know this isn't an easy quest.
M0160|You resolved to carry it out, didn't you?
M0161|Brace yourself for it.
M0162|Anyway you did the first step.
M0163|Bless you!
M0164|We want the adventurers who are super curious and extremely brave. Join us for a wonderful adventure!
M0165|Hey, you're a well-versed person, right? Are you interested in my story?
M0166|For me??
M0167|I hate annoying stuff.
M0168|Ahh... I sensed that I would get your request.
M0169|The recruiter sent you here to get tested?
M0170|Hmm.
M0171|Ah! They always push me,
M0172|to suffer from so much work
M0173|I live a hard life!
M0174|My job is testing if you are strong and brave enough for this adventure.
M0175|What a bother!
M0176|I will accept you if you bring me ^FF0000300 Jellopy^000000.
M0177|I believe that you can bring them to me.
M0178|Are you ready?
M0179|Just go ahead and hunt monsters, or whatever and collect 300 jellopies.
M0180|Then we can go forward.
M0181|Did you take the test?
M0182|Or are you already enjoying your adventure?
M0183|You didn't visit ^FF0000Izlude^000000, did you?
M0184|Or do you have any business in Geffen?
M0185|^FF00001 Ruby!!^000000.
M0186|Don't you forget it!
M0187|Hurry up! Time is zeny!
M0188|Wow, you brought a genuine Jewel.
M0189|You are absolutely qualified.
M0190|I can tell these things.
M0191|Am I exaggerating?
M0192|It's true that you're
M0193|considerably strong.
M0194|Ok! My job is done.
M0195|Good job!!
M0196|Next step is Izlude!
M0197|You can get tested by the Promotional Staff there.
M0198|Hurry up!
M0199|The unknown place...
M0200|It is a very dangerous place so you must go through these tests before we can send you....
M0201|We're pretty picky.
M0202|I hope you can do it!
M0203|Good luck!
M0204|The one you should bring me is
M0205|^FF0000Emerald^000000. Can you get it?
M0206|You brought it so soon!
M0207|You're a real adventurer!
M0208|I will accept this Emerald as evidence.
M0209|This isn't something I wanted to keep for myself.
M0210|You know that, right?
M0211|Next bring me ^FF00001 Ruby^000000.
M0212|I can't judge you with only one jewel.
M0213|So I need one more stone.
M0214|Please bring me a Ruby.
M0215|As I mentioned, this is the second request.
M0216|I will wait until you bring me a stone again.
M0217|We are recruiting adventurers who are strong and curious. Try your life at something more challenging.
M0218|Oh he did?
M0219|Ok, I guess that it's time for the second part of your test.
M0220|I need you to gather some stones for me.
M0221|I will accept you if you bring ^FF00001 Emerald^000000.
M0222|Just bring me ^ff00001 Emerald^000000.
M0223|That isn't hard for you right?
M0224|[Munkenro]
M0225|[" + strcharinfo(0) + "]
M0226|There's no avoiding it.
M0227|Ok, I need to try.
M0228|You are ready to try this...
M0229|Oh! My friend...
M0230|Nothing can be controlled anymore... Am I trying this...?
M0231|Peace for the three kingdoms...?
M0232|Isn't it impossible...?
M0233|Are you sure that
M0234|you can do that?
M0235|Nothing shall prevent me from doing my duty. Nothing!
M0236|Sikaiz is a kind and upright person. But he can't be cautious about everything. It could cause serious problems.
M0237|So that's why I am here for him. I always worry about him...
M0238|I don't know what I would do if something were to happen...
M0239|[Sikaiz]
M0240|Ok. I got your name, " + strcharinfo(0) + ". Great name! Registration is done!
M0241|You've become a member of the three kingdoms!
M0242|All done.
M0243|Go to the field Officer of Schwarzwald. He should be in the banquet hall of this building downstairs.
M0244|Only thing left for you is to go to the Officer to say that you are leaving now.
M0245|As soon as you tell him,
M0246|come back to me again.
M0247|You are not the only one expecting this great challenge. I am too.
